0,Crossing!
1,Dreaming!
2,Dreaming!
3,ハルカナミライ
4,成長Chu→LOVER!!
5,エスケープ
6,Eternal Spiral
7,piece of cake
8,アライブファクター
9,Persona Voice
10,Cut. Cut. Cut.
11,Smiling Crescent
12,Decided
13,深層マーメイド
14,"HELLO, YOUR ANGEL♪"
15,GF
16,little trip around the world
17,Melody in scape
18,"""Your"" HOME TOWN"
19,fuity love
20,夜に輝く星座のように
21,秘密のメモリーズ
22,たしかな足跡
23,Understand?Understand!
24,ジャングル☆パーティー
25,Beat the World!!
26,Emergence Vibe
27,Dreamscape
28,ランニング・ハイッ
29,ゲキテキ！ムテキ！恋したい！
30,Bonnes! Bonnes!! Vacances!!!
31,NO CURRY NO LIFE
32,サンリズム・オーケストラ♪
33,Raise the FLAG
34,P.S I Love You
35,プリムラ
36,待ちぼうけのLacrima
37,brave HARMONY
38,リフレインキス
39,Sweet Sweet Soul
40,メメント？モメント♪ルルルルル☆
41,永遠の花
42,Starry Melody
43,合言葉はスタートアップ!
44,地球ミラーボウル
45,ストロベリー･キューピッド
46,Liar's good bye
47,タイムマシンに飛び乗って!
48,smiley days
49,Welcome!!
50,Growing Storm!
51,...In The Name Of。...LOVE?
52,VIVID イマジネーション
53,空想文学少女
54,Believe my change!
55,未来飛行
56,Shooting Stars
57,夢色トレイン
58,サマ☆トリ ～Summer trip～
59,プリティ～～～ッ→ニャンニャンッ!
60,絵本
61,Catch my dream
62,Eternal Harmony
63,カーニヴァル・ジャパネスク
64,プラリネ
65,bitter sweet
66,君だけの欠片
67,Just be myself!!
68,ジレるハートに火をつけて
69,恋愛ロードランナー
70,BOUNCING♪ SMILE!
71,初恋バタフライ
72,フローズン・ワード
73,ホントウノワタシ
74,Birth of Color
75,Impervious Resolution
76,ユニゾン☆ビート
77,月のほとりで
78,WORLD WIDE DANCE!!!
79,おまじない
80,ドリームトラベラー
81,SUPER SIZE LOVE!!
82,アニマル☆ステイション!
83,りんごのマーチ
84,WOW! I NEED!! ～シンギングモンキー 歌唱拳～
85,水中キャンディ
86,星屑のシンフォニア
87,FAKE SELF x TRUE SELF
88,恋の音色ライン
89,"Day After ""Yesterday"""
90,鳥籠スクリプチュア
91,vivid color
92,STANDING ALIVE
93,ファンタジスタ・カーニバル
94,WHY?
95,STEREOPHONIC ISOTONIC
96,addicted
97,夕風のメロディー
98,Thank You!
99,キラメキ進行形
100,素敵なキセキ
101,Heart・デイズ・Night☆
102,Helloコンチェルト
103,IMPRESSION→LOCOMOTION!
104,アフタースクールパーリータイム
105,フェスタ・イルミネーション
106,ホップ♪ステップ♪レインボウ♪
107,マイペース☆マイウェイ
108,想いはCarnaval
109,微笑み日和
110,恋のLesson初級編
111,ハッピー☆ラッキー☆ジェットマシーン
112,透明なプロローグ
113,FIND YOUR WIND!
114,Get My Shinin'
115,POKER POKER
116,グッデイ・サンシャイン!
117,ココロ☆エクササイズ
118,スマイルいちばん
119,君想いBirthday
120,朝焼けのクレッシェンド
121,微笑んだから、気づいたんだ。
122,恋心マスカレード
123,Happy Darling
124,トキメキの音符になって
125,Be My Boy
126,dear...
127,FLY TO EVERYWHERE
128,あのね、聞いてほしいことがあるんだ
129,オリジナル声になって
130,ちいさな恋の足音
131,ハッピ～ エフェクト!
132,ハミングロード
133,ライアー・ルージュ
134,追憶のサンドグラス
135,Maria Trap
136,オレンジの空の下
137,DETECTIVE HIGH! ～恋探偵物語～
138,Snow White
139,チョー↑元気Show☆アイドルch@ng!
140,デコレーション・ドリ～ミンッ♪
141,ハートウォーミング
142,ビギナーズ☆ストライク
143,"プライヴェイト・ロードショウ (playback, Weekday)"
144,嘆きのFRACTION
145,流星群
146,恋花
147,Precious Grain
148,Rebellion
149,Bigバルーン◎
150,Blue Symphony
151,Fu-Wa-Du-Wa
152,"Good-Sleep, Baby"
153,GREEDY GIRL
154,Marionetteは眠らない
155,Sentimental Venus
156,カワラナイモノ
157,ココロがかえる場所
158,瞳の中のシリウス
159,Legend Girls!!
160,PRETTY DREAMER
161,ビジョナリー
162,キミはメロディ
163,アイル
164,my song
165,Flooding
